File Name,Average Number of Words Per Sentence,Complex Word Count,Cleaned Word Count,Personal Pronoun Count,Average Word Length
blackassign0019.txt,11.229166666666666,388,859,0,6.229128014842301
blackassign0031.txt,12.418604651162791,338,848,1,6.26123595505618
blackassign0025.txt,26.434782608695652,125,487,1,5.327302631578948
blackassign0024.txt,18.789473684210527,120,287,0,6.033613445378151
blackassign0030.txt,10.6375,196,601,1,5.278495887191539
blackassign0018.txt,16.22222222222222,228,584,0,6.2
blackassign0026.txt,14.75609756097561,182,476,1,5.717355371900826
blackassign0032.txt,9.052083333333334,232,680,0,5.6892980437284235
blackassign0033.txt,13.4125,292,834,4,5.746505125815471
blackassign0027.txt,14.8125,176,567,0,5.39521800281294
blackassign0023.txt,11.841269841269842,208,598,1,5.914209115281501
blackassign0037.txt,12.277777777777779,83,344,2,5.395927601809955
blackassign0022.txt,8.428571428571429,75,182,1,6.012711864406779
blackassign0034.txt,12.825396825396826,194,602,5,5.51980198019802
blackassign0008.txt,16.08108108108108,245,485,0,6.890756302521009
blackassign0009.txt,15.285714285714286,261,602,0,6.7369826435246996
blackassign0021.txt,13.48,239,536,0,6.204747774480712
blackassign0035.txt,10.08695652173913,111,349,0,5.631465517241379
blackassign0091.txt,14.567567567567568,178,464,1,6.369202226345084
blackassign0085.txt,7.652892561983471,309,709,1,5.9006479481641465
blackassign0052.txt,9.5,297,812,0,5.677631578947368
blackassign0046.txt,10.696428571428571,202,473,0,5.898163606010017
blackassign0047.txt,11.825,179,370,1,6.369978858350952
blackassign0053.txt,10.775,116,338,0,5.786542923433875
blackassign0090.txt,9.14864864864865,184,536,0,5.698670605612999
blackassign0086.txt,11.924731182795698,288,858,0,5.5365193868349865
blackassign0079.txt,14.458333333333334,272,812,0,5.698366954851105
blackassign0045.txt,80.2,245,712,1,6.366583541147132
blackassign0051.txt,13.8,119,328,2,5.8019323671497585
blackassign0050.txt,14.714285714285714,222,667,0,5.923543689320389
blackassign0044.txt,13.73913043478261,107,255,0,6.477848101265823
blackassign0078.txt,20.444444444444443,206,596,0,6.206521739130435
blackassign0093.txt,9.9,22,76,0,5.161616161616162
blackassign0087.txt,13.53191489361702,159,500,1,5.720125786163522
blackassign0097.txt,14.615384615384615,145,433,2,5.4070175438596495
blackassign0040.txt,12.389830508474576,251,608,1,6.629274965800273
blackassign0054.txt,13.444444444444445,47,200,0,5.553719008264463
blackassign0068.txt,11.136363636363637,174,526,0,5.225850340136055
blackassign0069.txt,15.0,78,185,0,5.566666666666666
blackassign0055.txt,15.042553191489361,150,569,0,5.3408769448373405
blackassign0041.txt,10.379746835443038,197,635,0,5.423170731707317
blackassign0096.txt,13.479166666666666,216,556,2,6.471406491499227
blackassign0082.txt,16.672131147540984,352,825,0,6.127826941986234
blackassign0094.txt,10.825396825396826,167,540,0,5.513196480938417
blackassign0080.txt,13.126373626373626,352,1792,0,4.850983675177899
blackassign0057.txt,7.448275862068965,65,160,0,6.041666666666667
blackassign0042.txt,13.1875,231,696,17,6.206161137440758
blackassign0056.txt,17.458333333333332,137,341,0,6.2243436754176615
blackassign0081.txt,11.710843373493976,271,788,6,6.003086419753086
blackassign0095.txt,12.13888888888889,89,332,1,5.295194508009153
blackassign0098.txt,22.166666666666668,81,218,0,6.2406015037593985
blackassign0073.txt,15.844444444444445,167,598,2,5.642356241234221
blackassign0067.txt,7.387096774193548,106,337,0,5.4126637554585155
blackassign0066.txt,10.817073170731707,197,668,3,5.311161217587373
blackassign0072.txt,8.407407407407407,141,506,0,5.0411160058737154
blackassign0058.txt,8.916666666666666,32,86,0,6.336448598130841
blackassign0064.txt,14.666666666666666,363,846,1,6.078181818181818
blackassign0070.txt,13.842857142857143,276,775,1,5.980392156862745
blackassign0071.txt,7.896103896103896,111,423,7,5.067434210526316
blackassign0065.txt,13.117647058823529,224,722,1,5.697309417040358
blackassign0059.txt,8.87719298245614,91,355,3,4.958498023715415
blackassign0061.txt,14.703703703703704,244,641,0,6.396725440806045
blackassign0075.txt,8.025,121,450,8,5.141744548286605
blackassign0048.txt,15.153846153846153,59,155,0,6.096446700507614
blackassign0074.txt,11.691358024691358,260,726,1,5.72544878563886
blackassign0060.txt,11.3,23,86,0,5.530973451327434
blackassign0089.txt,11.461538461538462,157,472,2,5.721476510067114
blackassign0076.txt,15.314814814814815,227,661,0,5.741233373639662
blackassign0062.txt,14.666666666666666,93,241,1,5.8441558441558445
blackassign0063.txt,10.923076923076923,165,464,0,5.880281690140845
blackassign0077.txt,19.956521739130434,119,372,0,6.093681917211329
blackassign0088.txt,20.071428571428573,333,922,0,6.0711743772241995
blackassign0038.txt,15.08641975308642,349,977,3,5.803600654664485
blackassign0010.txt,9.578260869565218,667,1724,0,6.471629596005447
blackassign0004.txt,16.23404255319149,266,606,0,6.614678899082569
blackassign0005.txt,10.775,136,350,0,6.566125290023201
blackassign0011.txt,16.152542372881356,390,795,0,6.816369359916054
blackassign0039.txt,13.866666666666667,302,1055,1,5.132554945054945
blackassign0007.txt,12.214285714285714,226,692,0,6.028070175438597
blackassign0013.txt,13.8,129,292,0,7.0028985507246375
blackassign0012.txt,12.85,356,850,0,6.652723735408561
blackassign0006.txt,16.0125,501,1055,0,6.852459016393443
blackassign0002.txt,11.85,319,731,2,6.05379746835443
blackassign0016.txt,13.35,258,664,0,6.313358302122347
blackassign0017.txt,11.666666666666666,246,603,2,6.25578231292517
blackassign0003.txt,13.771929824561404,327,631,0,6.868789808917198
blackassign0015.txt,13.35,258,664,0,6.313358302122347
blackassign0001.txt,10.15625,150,506,1,5.496923076923077
blackassign0028.txt,18.57894736842105,197,577,2,6.1076487252124645
